,Feature_Importance,RMS_Bias
DER_sum_pt,0.22946003,0.010176607162180003
DER_mass_vis,0.14185405,0.016454482671904334
PRI_met,0.07845708,0.019556499345912262
PRI_n_jets,0.056237813,0.010020811677038275
PRI_jet_all_pt,0.054545205,0.0116941580856996
DER_mass_jet_jet,0.04027743,0.011293213301211781
DER_pt_h,0.037718292,0.011333872536192856
DER_deltar_had_lep,0.03745259,0.003233161507461904
PRI_had_pt,0.028211765,0.02580755703277627
PRI_jet_leading_eta,0.026231641,8.164965809277261e-05
DER_mass_transverse_met_lep,0.024389915,0.021025064407352793
DER_met_phi_centrality,0.024060847,0.010001833165308581
PRI_lep_pt,0.022039484,0.00034641016151377546
DER_pt_ratio_lep_had,0.020094087,0.01720503802185085
PRI_jet_leading_pt,0.017608065,0.007797649218407644
DER_prodeta_jet_jet,0.016677942,8.164965809277261e-05
DER_deltaeta_jet_jet,0.015789162,0.021889190635258005
DER_pt_tot,0.014398759,0.02115892246783848
PRI_jet_subleading_pt,0.0143360775,0.006703481682429412
PRI_lep_eta,0.013428965,0.0002309401076758503
DER_lep_eta_centrality,0.0134126,0.00018257418583505534
PRI_had_eta,0.012717246,0.00017320508075688773
PRI_met_phi,0.010392009,5.773502691896258e-05
PRI_jet_leading_phi,0.010280871,0.0004163331998932265
PRI_had_phi,0.010245079,5.773502691896258e-05
PRI_lep_phi,0.010172382,5.773502691896258e-05
PRI_jet_subleading_eta,0.010020658,0.00043969686527576396
PRI_jet_subleading_phi,0.009489954,0.0004163331998932265
