Feature,Importance
DER_sum_pt,0.22946003
DER_mass_vis,0.14185405
PRI_met,0.07845708
PRI_n_jets,0.056237813
PRI_jet_all_pt,0.054545205
DER_mass_jet_jet,0.04027743
DER_pt_h,0.037718292
DER_deltar_had_lep,0.03745259
PRI_had_pt,0.028211765
PRI_jet_leading_eta,0.026231641
DER_mass_transverse_met_lep,0.024389915
DER_met_phi_centrality,0.024060847
PRI_lep_pt,0.022039484
DER_pt_ratio_lep_had,0.020094087
PRI_jet_leading_pt,0.017608065
DER_prodeta_jet_jet,0.016677942
DER_deltaeta_jet_jet,0.015789162
DER_pt_tot,0.014398759
PRI_jet_subleading_pt,0.0143360775
PRI_lep_eta,0.013428965
DER_lep_eta_centrality,0.0134126
PRI_had_eta,0.012717246
PRI_met_phi,0.010392009
PRI_jet_leading_phi,0.010280871
PRI_had_phi,0.010245079
PRI_lep_phi,0.010172382
PRI_jet_subleading_eta,0.010020658
PRI_jet_subleading_phi,0.009489954
